name,description,image,external_url,attributes[artist],attributes[burn_date],attributes[burn_location],attributes[technique],attributes[curves],width,height,id,cnt,light_x,bgcolor__001,bgcolor__002,bgcolor__003
Lo Abierto,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",5-82.png,https://www.sublim.art/artwork/lo-abierto@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,14,8.5,7,5,82,0.7785866954363883,128,94,76
Sagrado y Cotidiano,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",12-24.png,https://www.sublim.art/artwork/sagrado-y-cotidiano@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,16,9,8,12,24,-0.8858069954439998,255,243,170
Lo Abierto,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",5-33.png,https://www.sublim.art/artwork/lo-abierto@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,10,7.5,5,5,33,0.8088572258129716,166,138,123
Refracción,"Carlos Muslera was born in Buenos Aires in 1961, and he started drawing, painting and engraving at the age of 11. He claims that his main inspirations come from city dwellers, men-shaped landscapes and abandoned objects left to derelict. His work has been exhibited in Argentina, United States, and Europe.",27-29.png,https://www.sublim.art/artwork/refraccion@carlos_muslera,Carlos Muslera,2022-11-07,Buenos Aires,Color pencil on canvas,10,7.5,5,27,29,-0.6459203697741032,106,91,85
Sagrado y Cotidiano,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",12-18.png,https://www.sublim.art/artwork/sagrado-y-cotidiano@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,16,8,8,12,18,0.1424250854179263,211,186,145
Gracias Gauchito,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",11-83.png,https://www.sublim.art/artwork/gacias-gauchito@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,8,7,4,11,83,0.48209261102601886,155,150,150
Lo Abierto,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",5-51.png,https://www.sublim.art/artwork/lo-abierto@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,12,8.5,6,5,51,0.5575845637358725,107,93,83
Lo Abierto,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",5-31.png,https://www.sublim.art/artwork/lo-abierto@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,10,8,5,5,31,-0.15628128638491035,199,170,154
Gracias Gauchito,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",11-88.png,https://www.sublim.art/artwork/gacias-gauchito@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,10,6.5,5,11,88,0.6188363749533892,129,61,50
Sagrado y Cotidiano,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",12-4.png,https://www.sublim.art/artwork/sagrado-y-cotidiano@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,14,8.5,7,12,4,0.9961969256401062,175,153,119
De Materia,"Carlos Muslera was born in Buenos Aires in 1961, and he started drawing, painting and engraving at the age of 11. He claims that his main inspirations come from city dwellers, men-shaped landscapes and abandoned objects left to derelict. His work has been exhibited in Argentina, United States, and Europe.",26-22.png,https://www.sublim.art/artwork/de-materia@carlos_muslera,Carlos Muslera,2022-11-11,Buenos Aires,Color pencil on canvas,14,5,7,26,22,0.28506439412012696,134,144,156
Mi Cisne Maceta,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",10-6.png,https://www.sublim.art/artwork/mi-cisne-maceta@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Watercolor and acrylic on paper,8,5,4,10,6,0.6197909386828542,109,143,143
Gracias Gauchito,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",11-33.png,https://www.sublim.art/artwork/gacias-gauchito@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,12,7,6,11,33,-0.3030512472614646,133,176,188
Moldear,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",6-97.png,https://www.sublim.art/artwork/moldear@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,12,6.5,6,6,97,0.27541924035176635,109,110,106
Moldear,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",6-99.png,https://www.sublim.art/artwork/moldear@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,12,8,6,6,99,-0.3794173658825457,177,179,176
Abrazo Taurino,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",4-95.png,https://www.sublim.art/artwork/abrazo-taurino@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,14,6,7,4,95,-0.8491306998766959,135,124,116
De Materia,"Carlos Muslera was born in Buenos Aires in 1961, and he started drawing, painting and engraving at the age of 11. He claims that his main inspirations come from city dwellers, men-shaped landscapes and abandoned objects left to derelict. His work has been exhibited in Argentina, United States, and Europe.",26-54.png,https://www.sublim.art/artwork/de-materia@carlos_muslera,Carlos Muslera,2022-11-11,Buenos Aires,Color pencil on canvas,16,6,8,26,54,0.5331107815727592,156,168,167
Mi Cisne Maceta,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",10-54.png,https://www.sublim.art/artwork/mi-cisne-maceta@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Watercolor and acrylic on paper,12,8,6,10,54,0.27878605481237173,226,188,159
Sagrado y Cotidiano,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",12-33.png,https://www.sublim.art/artwork/sagrado-y-cotidiano@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,8,6,4,12,33,-0.031341377180069685,255,216,160
Mi Cisne Maceta,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",10-90.png,https://www.sublim.art/artwork/mi-cisne-maceta@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Watercolor and acrylic on paper,12,8,6,10,90,0.9773360099643469,180,182,168
Gracias Gauchito,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",11-9.png,https://www.sublim.art/artwork/gacias-gauchito@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,10,7.5,5,11,9,0.02370084635913372,102,116,123
Abrazo Taurino,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",4-27.png,https://www.sublim.art/artwork/abrazo-taurino@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,16,8.5,8,4,27,-0.6515249437652528,179,162,157
De Aires,"Carlos Muslera was born in Buenos Aires in 1961, and he started drawing, painting and engraving at the age of 11. He claims that his main inspirations come from city dwellers, men-shaped landscapes and abandoned objects left to derelict. His work has been exhibited in Argentina, United States, and Europe.",25-84.png,https://www.sublim.art/artwork/de-aires@carlos_muslera,Carlos Muslera,2022-11-11,Buenos Aires,Color pencil on canvas,8,7,4,25,84,0.11045475397258997,178,180,172
Mi Cisne Maceta,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",10-33.png,https://www.sublim.art/artwork/mi-cisne-maceta@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Watercolor and acrylic on paper,10,7,5,10,33,0.6496245064772666,188,208,202
Lo Abierto,"Florencia Giovanni Pacini is an Argentinian artist whose work has been exhibited in several national galleries. Merging both neo-romanticism and magical realism, she describes her work as figurative, poetic, narrative and dramatic, as well as being driven by feminism and ecology.",5-81.png,https://www.sublim.art/artwork/lo-abierto@flo_giovanni_pacini,Flo Giovanni Pacini,2022-09-16,Buenos Aires,Oil on canvas,10,8.5,5,5,81,-0.5818901867605746,196,165,149
Mi Cisne Maceta,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",10-39.png,https://www.sublim.art/artwork/mi-cisne-maceta@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Watercolor and acrylic on paper,16,7,8,10,39,0.4875773387029767,210,221,215
Sagrado y Cotidiano,"Consuelo Vidal is an argentinian artist. She studied fine arts and states that her inspiration comes directly from her surroundings: nature, her neighborhood, shrines, popular art and the beauty present in everyday things.",12-3.png,https://www.sublim.art/artwork/sagrado-y-cotidiano@consuelo_vidal,Consuelo Vidal,2022-10-14,Buenos Aires,Acrylic on paper,12,8.5,6,12,3,-0.266239196062088,243,217,171
